onset_week,incidence,setting,disease
2011-07-07,0,yap,dengue
2011-07-14,0,yap,dengue
2011-07-21,0,yap,dengue
2011-07-28,0,yap,dengue
2011-08-04,0,yap,dengue
2011-08-11,0,yap,dengue
2011-08-18,0,yap,dengue
2011-08-25,0,yap,dengue
2011-09-01,1,yap,dengue
2011-09-02,2,yap,dengue
2011-09-03,0,yap,dengue
2011-09-04,0,yap,dengue
2011-09-05,0,yap,dengue
2011-09-06,0,yap,dengue
2011-09-07,0,yap,dengue
2011-09-08,0,yap,dengue
2011-09-09,1,yap,dengue
2011-09-10,0,yap,dengue
2011-09-11,0,yap,dengue
2011-09-12,0,yap,dengue
2011-09-13,0,yap,dengue
2011-09-14,0,yap,dengue
2011-09-15,1,yap,dengue
2011-09-16,2,yap,dengue
2011-09-17,0,yap,dengue
2011-09-18,0,yap,dengue
2011-09-19,1,yap,dengue
2011-09-20,0,yap,dengue
2011-09-21,0,yap,dengue
2011-09-22,2,yap,dengue
2011-09-23,1,yap,dengue
2011-09-24,4,yap,dengue
2011-09-25,2,yap,dengue
2011-09-26,3,yap,dengue
2011-09-27,2,yap,dengue
2011-09-28,2,yap,dengue
2011-09-29,4,yap,dengue
2011-09-30,1,yap,dengue
2011-10-01,3,yap,dengue
2011-10-02,3,yap,dengue
2011-10-03,4,yap,dengue
2011-10-04,3,yap,dengue
2011-10-05,3,yap,dengue
2011-10-06,9,yap,dengue
2011-10-07,1,yap,dengue
2011-10-08,1,yap,dengue
2011-10-09,7,yap,dengue
2011-10-10,5,yap,dengue
2011-10-11,4,yap,dengue
2011-10-12,1,yap,dengue
2011-10-13,2,yap,dengue
2011-10-14,4,yap,dengue
2011-10-15,7,yap,dengue
2011-10-16,3,yap,dengue
2011-10-17,6,yap,dengue
2011-10-18,6,yap,dengue
2011-10-19,4,yap,dengue
2011-10-20,8,yap,dengue
2011-10-21,6,yap,dengue
2011-10-22,7,yap,dengue
2011-10-23,2,yap,dengue
2011-10-24,6,yap,dengue
2011-10-25,7,yap,dengue
2011-10-26,5,yap,dengue
2011-10-27,7,yap,dengue
2011-10-28,9,yap,dengue
2011-10-29,10,yap,dengue
2011-10-30,14,yap,dengue
2011-10-31,9,yap,dengue
2011-11-01,4,yap,dengue
2011-11-02,5,yap,dengue
2011-11-03,7,yap,dengue
2011-11-04,10,yap,dengue
2011-11-05,11,yap,dengue
2011-11-06,17,yap,dengue
2011-11-07,6,yap,dengue
2011-11-08,13,yap,dengue
2011-11-09,13,yap,dengue
2011-11-10,14,yap,dengue
2011-11-11,13,yap,dengue
2011-11-12,12,yap,dengue
2011-11-13,12,yap,dengue
2011-11-14,15,yap,dengue
2011-11-15,16,yap,dengue
2011-11-16,12,yap,dengue
2011-11-17,14,yap,dengue
2011-11-18,11,yap,dengue
2011-11-19,17,yap,dengue
2011-11-20,10,yap,dengue
2011-11-21,10,yap,dengue
2011-11-22,16,yap,dengue
2011-11-23,12,yap,dengue
2011-11-24,17,yap,dengue
2011-11-25,29,yap,dengue
2011-11-26,21,yap,dengue
2011-11-27,21,yap,dengue
2011-11-28,25,yap,dengue
2011-11-29,17,yap,dengue
2011-11-30,12,yap,dengue
2011-12-01,18,yap,dengue
2011-12-02,11,yap,dengue
2011-12-03,12,yap,dengue
2011-12-04,10,yap,dengue
2011-12-05,18,yap,dengue
2011-12-06,8,yap,dengue
2011-12-07,14,yap,dengue
2011-12-08,10,yap,dengue
2011-12-09,15,yap,dengue
2011-12-10,16,yap,dengue
2011-12-11,8,yap,dengue
2011-12-12,7,yap,dengue
2011-12-13,5,yap,dengue
2011-12-14,7,yap,dengue
2011-12-15,5,yap,dengue
2011-12-16,5,yap,dengue
2011-12-17,6,yap,dengue
2011-12-18,11,yap,dengue
2011-12-19,10,yap,dengue
2011-12-20,5,yap,dengue
2011-12-21,4,yap,dengue
2011-12-22,9,yap,dengue
2011-12-23,6,yap,dengue
2011-12-24,1,yap,dengue
2011-12-25,6,yap,dengue
2011-12-26,3,yap,dengue
2011-12-27,6,yap,dengue
2011-12-28,4,yap,dengue
2011-12-29,3,yap,dengue
2011-12-30,5,yap,dengue
2011-12-31,1,yap,dengue
2012-01-01,8,yap,dengue
2012-01-02,2,yap,dengue
2012-01-03,9,yap,dengue
2012-01-04,4,yap,dengue
2012-01-05,5,yap,dengue
2012-01-06,4,yap,dengue
2012-01-07,3,yap,dengue
2012-01-08,3,yap,dengue
2012-01-09,4,yap,dengue
2012-01-10,4,yap,dengue
2012-01-11,3,yap,dengue
2012-01-12,3,yap,dengue
2012-01-13,4,yap,dengue
2012-01-14,5,yap,dengue
2012-01-15,2,yap,dengue
2012-01-16,5,yap,dengue
2012-01-17,4,yap,dengue
2012-01-18,2,yap,dengue
2012-01-19,6,yap,dengue
2012-01-20,4,yap,dengue
2012-01-21,2,yap,dengue
2012-01-22,0,yap,dengue
2012-01-23,4,yap,dengue
2012-01-24,2,yap,dengue
2012-01-25,1,yap,dengue
2012-01-26,1,yap,dengue
2012-01-27,1,yap,dengue
2012-01-28,2,yap,dengue
