Date,Cases
19/10/2015,1
22/10/2015,2
23/10/2015,1
24/10/2015,4
25/10/2015,2
26/10/2015,5
27/10/2015,2
28/10/2015,4
29/10/2015,5
30/10/2015,4
31/10/2015,6
01/11/2015,8
02/11/2015,11
03/11/2015,11
04/11/2015,22
05/11/2015,31
06/11/2015,32
07/11/2015,40
08/11/2015,42
09/11/2015,54
10/11/2015,56
11/11/2015,31
12/11/2015,26
13/11/2015,19
14/11/2015,34
15/11/2015,43
16/11/2015,44
17/11/2015,57
18/11/2015,47
19/11/2015,51
20/11/2015,48
21/11/2015,47
22/11/2015,38
23/11/2015,57
24/11/2015,47
25/11/2015,38
26/11/2015,48
27/11/2015,26
28/11/2015,38
29/11/2015,43
30/11/2015,40
01/12/2015,59
02/12/2015,38
03/12/2015,33
04/12/2015,33
05/12/2015,44
06/12/2015,35
07/12/2015,34
08/12/2015,31
09/12/2015,23
10/12/2015,21
11/12/2015,12
12/12/2015,12
13/12/2015,12
14/12/2015,10
15/12/2015,15
16/12/2015,9
17/12/2015,8
18/12/2015,7
19/12/2015,21
20/12/2015,15
21/12/2015,2
22/12/2015,11
23/12/2015,9
24/12/2015,14
25/12/2015,4
26/12/2015,7
27/12/2015,15
28/12/2015,14
29/12/2015,13
30/12/2015,6
31/12/2015,12
01/01/2016,49
02/01/2016,22
03/01/2016,9
04/01/2016,6
05/01/2016,8
07/01/2016,5
08/01/2016,12
09/01/2016,5
10/01/2016,10
11/01/2016,8
12/01/2016,11
13/01/2016,15
14/01/2016,5
15/01/2016,9
16/01/2016,6
17/01/2016,3
18/01/2016,3
19/01/2016,2
20/01/2016,2
21/01/2016,1
22/01/2016,1
