Date,Cases
06/09/2015,1
07/09/2015,1
08/09/2015,1
13/09/2015,1
15/09/2015,4
19/09/2015,1
20/09/2015,1
23/09/2015,1
24/09/2015,1
26/09/2015,1
28/09/2015,2
29/09/2015,1
30/09/2015,2
01/10/2015,6
02/10/2015,5
03/10/2015,3
04/10/2015,3
05/10/2015,6
06/10/2015,9
07/10/2015,7
08/10/2015,10
09/10/2015,5
10/10/2015,19
11/10/2015,10
12/10/2015,17
13/10/2015,15
14/10/2015,17
15/10/2015,21
16/10/2015,14
17/10/2015,12
18/10/2015,14
19/10/2015,20
20/10/2015,10
21/10/2015,4
22/10/2015,7
23/10/2015,5
24/10/2015,5
25/10/2015,14
26/10/2015,8
27/10/2015,10
28/10/2015,21
29/10/2015,3
30/10/2015,13
31/10/2015,5
01/11/2015,28
02/11/2015,29
03/11/2015,17
04/11/2015,13
05/11/2015,28
06/11/2015,19
07/11/2015,36
08/11/2015,20
09/11/2015,31
10/11/2015,25
11/11/2015,21
12/11/2015,26
13/11/2015,29
14/11/2015,24
15/11/2015,26
16/11/2015,12
17/11/2015,14
18/11/2015,9
19/11/2015,3
20/11/2015,12
21/11/2015,5
22/11/2015,10
23/11/2015,18
24/11/2015,12
25/11/2015,9
26/11/2015,13
27/11/2015,3
28/11/2015,6
29/11/2015,5
30/11/2015,11
01/12/2015,1
02/12/2015,3
03/12/2015,7
04/12/2015,1
05/12/2015,6
06/12/2015,8
07/12/2015,3
08/12/2015,4
09/12/2015,4
10/12/2015,6
11/12/2015,4
12/12/2015,6
13/12/2015,4
14/12/2015,1
15/12/2015,4
16/12/2015,2
17/12/2015,1
18/12/2015,1
19/12/2015,1
20/12/2015,3
23/12/2015,1
26/12/2015,2
29/12/2015,1
20/01/2016,1
21/01/2016,1
29/01/2016,1
30/01/2016,1
Grand Total,928
